call_id,customer_id,phone_number,tower_id,call_type,call_duration_seconds,data_usage_mb,signal_strength_dbm,call_timestamp,call_success,revenue_naira,network_type,roaming
86634543-444c-4f38-aa1d-70df574593fa,CU000151,8169541064,INVALID_TW9116,SMS,2532,4666.74,-85,30/04/2024 04:30,TRUE,842.74,4G,TRUE
fe36e9b9-f944-4d9a-83b2-a1796fc5074c,CU000307,7027999942,TW0040,data,,3281.08,-74,08/04/2024 10:37,TRUE,126.07,5G,FALSE
534acb40-196b-469b-8b20-dbbe23a6e898,CU001104,7011766356,TW0128,Voice,5506,3967.93,,04/05/2024 16:11,0,400.31,5G,0
04b2ab83-5325-4dd0-9a46-6d767439f5a2,CU000869,9059923201,,Voice,4610,4734.73,-113,24/05/2024 14:01,FALSE,956.19,3g,TRUE
7775e1be-3638-4d37-8ae9-e91fd5a966e5,CU000518,8091140319,TW0150,SMS,271,2995.66,-106,07/04/2024 20:54,FALSE,740.63,3G,1
347ce2de-2af3-411e-8558-ccb34bb636a2,CU000691,9052381677,TW0038,voice,3935,866.68,-113,23/05/2024 10:18,No,491,4g,1
e0a92494-1398-4b5c-a199-98a6080dc7fb,CU000128,7086288400,,Data,1234,3301.17,-117,21/01/2024 18:20,Yes,491.07,2G,1
59c2b822-ec4b-4e1e-b35c-ba30821e4fae,CU000544,80864810,TW0005,voice,5691,4584.08,-98,02/04/2024 14:00,Yes,416.57,5G,No
c4c64141-42ec-4e0c-8497-2ea7f5e3ce3c,,8021197996,TW0112,SMS,4969,4606.4,,12/04/2024 20:48,Yes,119.53,2G,TRUE
2469fa91-eaa6-49c8-8d89-28bb25e7faf1,CU000869,9067384306,TW0020,voice,3171,1989.07,-95,20/01/2024 02:09,0,897.57,3G,Yes
50ae584f-ffc1-4bdf-92d5-7b8f6798e005,CU001377,7057813237,,voice,,3959.02,-43,22/01/2024 22:32,Y,485.9,2G,Yes
b12cee9d-5393-4e4e-a38e-97bbe05b87f1,CU000113,8188500007,TW0027,SMS,2336,1130.44,-50,28/05/2024 01:20,FALSE,34.99,4g,TRUE
4cfca9d3-72fb-414a-bd24-fa5354a09462,CU000742,8169838407,TW0028,data,1446,240.33,-84,24/05/2024 21:11,N,364.47,4g,1
c78dd3f5-43f1-4a05-940b-c70b5fb7aacc,CU001228,9029874054,TW0086,data,4874,4938.82,,12/02/2024 02:25,FALSE,349.22,3g,FALSE
c4d40ec5-3a5b-4520-a1bc-b71f9726fec5,CU000751,8158408204,INVALID_TW9812,data,1537,4687.16,-91,23/04/2024 21:57,TRUE,837.48,4G,Yes
b5742be1-8ac6-4bab-8703-9ca34584b768,CU001347,9031461898,TW0118,SMS,2975,3076.88,-55,21/01/2024 05:18,TRUE,673.84,5G,Yes
d85f0f81-bf17-48cf-9710-4259e4edda58,CU000895,9053818616,INVALID_TW9632,Voice,2117,1217.43,-64,31/05/2024 02:34,Y,677.43,4g,1
566176d3-4bc1-4058-ad8f-2a467ce480d1,CU000340,2.34813E+12,TW0083,data,2924,2060.25,-94,14/01/2024 01:56,1,656.64,5G,Yes
0f0e0c76-69c2-4db5-8d03-01491f93d04b,CU000275,7087831747,TW0127,sms,-3488,,-47,12/05/2024 09:30,Yes,608.85,4g,Yes
d3a49ee0-9b46-4b99-9234-037952832544,CU000508,None,TW0076,Data,849,2738.22,-60,16/02/2024 04:39,1,423.82,5G,1
8d905053-e0d8-49d4-acd9-b48d984decde,CU001110,None,TW0117,SMS,3855,1393.9,-63,16/03/2024 06:26,TRUE,691.26,4g,No
313ed8ad-2206-4c8a-9045-9f266d4a4855,CU001191,8098956294,TW0017,voice,3087,2579.66,150,12/03/2024 02:23,Y,136.1,3G,0
d0b386af-a238-4a8e-82b6-7ec2515256ea,CU000954,8069680946,TW0016,data,3431,1261.62,,29/02/2024 14:43,N,67.41,5G,0
5074de3c-65da-4d04-bc3a-64f063ce789c,CU000722,8156385189,TW0117,sms,7058,4032.42,-111,23/02/2024 12:26,No,696.95,4G,Yes
c4c21c6a-b16a-4e75-ac10-4cb1d53f46cf,CU000475,7015162762,TW0132,SMS,,1482.26,-117,12/02/2024 22:34,Y,584,4G,1
d5ff9876-1329-47a1-8304-6449d4a5cbbc,CU000360,9097020274,TW0135,data,1280,4203.49,-63,10/01/2024 14:05,1,209.61,3G,TRUE
3092ed72-f13b-4fff-840d-bd685d1c74b7,CU000601,9053311667,TW0098,SMS,3625,3744.86,-103,19/04/2024 23:15,TRUE,505.82,5G,No
503145d1-12f5-4169-a849-b2b53262a709,CU000015,8094983691,TW0113,voice,5454,4119.4,-39,29/03/2024 14:31,TRUE,55.93,4G,FALSE
4aaac815-c134-4e20-bf1c-fad775caefd6,CU000125,80150057,TW0150,Voice,6356,3727.32,-104,13/02/2024 23:09,No,337.75,5G,1
19b6d4bd-b99a-4c42-a1e1-b739de81f190,CU000922,None,TW0058,voice,3753,1465.86,-59,22/05/2024 20:29,Y,841.41,4G,No
670d2d16-78c1-42f5-b78a-e021b8c69098,CU000542,8013666354,TW0072,Data,3532,1141.32,-98,08/06/2024 00:00,Y,891.17,3G,0
0ea62051-d7ad-40aa-a1a6-dd59ff81c184,CU001388,None,TW0150,data,,158.87,-39,22/05/2024 16:01,FALSE,241.32,4g,No
66cc3178-41ec-4eb3-b598-1a9418987a9b,CU000508,8036788983,TW0037,SMS,4503,1602.34,-111,10/01/2024 10:25,TRUE,129.3,3g,No
d528f872-3e66-44b4-831e-739ca5dab5f8,CU000653,9055050622,TW0118,sms,2996,3300.25,-31,28/05/2024 00:57,No,896.55,3G,0
da990116-7233-4431-8af7-c1fce8bdd802,CU000616,9066053211,TW0022,data,7170,4199.21,-49,27/02/2024 01:29,1,774.84,2G,No
b56601f8-1dba-40e5-8d6e-3f5ec33da7dd,,8052714131,TW0018,data,2452,1871.3,-83,22/03/2024 08:29,TRUE,512.89,4g,FALSE
edb8a5af-7002-4f23-b91f-cfb6859862d2,CU000496,8094512152,TW0093,SMS,750,3689.13,-84,03/01/2024 18:16,1,797.22,2G,1
756912fa-95d3-4e7b-8b4a-57c97d1e294a,CU001171,8139171446,TW0043,SMS,4654,134.55,-59,04/06/2024 19:05,FALSE,203.95,4G,0
bff5fa8e-5064-47f8-9fc3-5e9c88645a1a,CU001455,775733649,TW0068,SMS,562,3004.13,-65,26/06/2024 03:09,1,619.25,3g,0
e614cef0-3443-401c-b326-0e730ec4b674,CU000594,8189206403,,voice,2501,813.81,-43,13/01/2024 06:07,FALSE,676.1,4g,TRUE
78f02496-05fb-4bc8-afc4-2f91b4220771,CU000804,9066305096,TW0056,Data,5956,1034.49,-101,29/02/2024 02:58,FALSE,11.35,3g,FALSE
d9ed8b96-a007-42d8-8cbb-3eccba906247,CU001037,8061143494,TW0024,SMS,3925,1605.3,-106,02/03/2024 13:01,FALSE,256.1,4g,No
1d40d38c-bba9-4ded-8b47-ee65627912b3,CU001441,9025826896,TW0127,data,5795,,-72,23/02/2024 21:47,TRUE,315.46,3g,No
2f128b5e-8c85-4ad9-876c-4e3e9c3dc9b7,CU001175,7021523067,TW0049,sms,7042,302.13,-61,06/01/2024 19:15,1,986.81,3G,FALSE
f0640a74-4934-45bf-8197-d55b2a55cfa2,,8097753616,TW0127,SMS,6707,51731,-112,11/03/2024 12:21,N,293.15,3g,1
